,0
price_close,1054
roa,820
currentLiabilities,801
vol_6m,798
currentAssets,768
de_ratio,720
roe,691
ret_12m,683
totalRevenue,647
ret_6m,644
pe,586
totalDebt,578
pb_lag1,560
pe_lag1,552
operatingCashflow,550
totalDebt_lag1,535
netIncome,532
totalShareholderEquity,512
operatingCashflow_lag1,503
netIncome_lag1,501
totalRevenue_lag1,495
ret_3m,489
pb,482
totalShareholderEquity_lag1,479
totalShareholderEquity_growth,468
totalAssets,441
netIncome_growth,431
operatingCashflow_growth,410
totalAssets_growth,401
totalRevenue_growth,397
pb_growth,385
totalAssets_lag1,381
ret_1m,368
pe_growth,352
totalDebt_growth,148
