,0
totalDebt,0.051296297
de_ratio,0.048390888
totalDebt_growth,0.046833128
totalDebt_lag1,0.044145245
operatingCashflow_growth,0.032973934
totalRevenue_growth,0.03259215
netIncome_growth,0.0299338
totalAssets_growth,0.02924917
totalShareholderEquity_growth,0.027802007
totalAssets_lag1,0.02720208
vix_close,0.02630449
totalRevenue,0.026186524
pb_lag1,0.025900343
currentAssets,0.025741044
totalRevenue_lag1,0.025375849
pb,0.02474252
pe,0.024654502
pe_lag1,0.024411539
netIncome_lag1,0.024201138
totalShareholderEquity,0.024167508
vol_6m,0.024094509
operatingCashflow,0.024040189
totalAssets,0.024021408
currentLiabilities,0.023914961
price_close,0.023810368
roe,0.023449253
ret_12m,0.023364138
roa,0.02334478
totalShareholderEquity_lag1,0.022702696
netIncome,0.022430902
ret_3m,0.022238841
operatingCashflow_lag1,0.021667844
ret_6m,0.021454778
ret_1m,0.019918347
teny_yield,0.01963761
pe_growth,0.019093039
pb_growth,0.018712105
